OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
181,53033023601,45796,Tract 023601,4829,4,3,4,11,3.66666667,4042,797,19.71796141,98472,2162,53.48837209,29643.9208114517,50076811.3933958
182,53033023603,45795,Tract 023603,4830,4,3,5,12,4,6657,1448,21.75153973,92703,4228,63.51209253,19174.1630793939,21553878.8265829
183,53033023604,44135,Tract 023604,4831,4,4,4,12,4,6744,1477,21.90094899,73228,3943,58.46678529,27875.2742338482,31386036.9323087
184,53033023700,44833,Tract 023700,4832,2,2,3,7,2.33333333,4322,268,6.20083295,114000,1603,37.0893105,45358.5909751549,81318118.7349506
185,53033023801,45070,Tract 023801,4833,3,3,4,10,3.33333333,2749,364,13.24117861,94444,1420,51.65514733,34294.1355741801,40212364.7009977
186,53033023803,25444,Tract 023803,4834,3,3,4,10,3.33333333,5319,659,12.38954691,105223,3052,57.37920662,12024.678751536,6070337.1013246
187,53033023804,25491,Tract 023804,4835,3,2,4,9,3,6841,801,11.7088145,111068,3303,48.28241485,17244.4188282932,13141562.0280981
188,53033022902,45169,Tract 022902,4819,2,1,3,6,2,6490,550,8.47457627,147391,2464,37.96610169,41087.0349870685,36843543.5496724
189,53033023000,45149,Tract 023000,4820,2,2,2,6,2,5179,446,8.6117011,125729,1529,29.52307395,38499.3410439338,35605221.1568241
190,53033023100,45134,Tract 023100,4821,3,3,3,9,3,4046,459,11.34453782,103795,1719,42.48640633,40703.406743311,27171576.5716561
191,53033023900,45170,Tract 023900,4836,3,1,2,6,2,7179,838,11.67293495,150675,2275,31.68965037,76706.3332824245,50807500.0412491
192,53033024901,45047,Tract 024901,4848,3,2,4,9,3,5084,657,12.92289536,136736,2585,50.84579072,32487.6157997266,33518862.4001477
193,53033024902,26801,Tract 024902,4849,2,1,4,7,2.33333333,4043,257,6.35666584,152933,1922,47.53895622,27975.6912981138,21849857.5870299
194,53033023201,42670,Tract 023201,4822,4,3,5,12,4,6885,1314,19.08496732,91010,4792,69.60058097,18584.0109567641,17111708.5622499
195,53033023202,43741,Tract 023202,4823,5,5,5,15,5,4605,1347,29.25081433,58862,2985,64.82084691,18211.6586399395,15829365.2271556
196,53033023300,24809,Tract 023300,4824,3,4,2,9,3,6534,1038,15.88613407,74250,2334,35.72084481,28242.6455744107,41314729.4564689
197,53033023401,42605,Tract 023401,4825,3,4,4,11,3.66666667,3821,452,11.82936404,81055,1878,49.14943732,29397.1075775864,40257911.4862447
198,53033023403,44673,Tract 023403,4826,3,3,2,8,2.66666667,4119,433,10.51226026,105074,1374,33.35761107,36571.3784024037,35390999.6121797
199,53033023404,44836,Tract 023404,4827,1,1,1,3,1,3436,76,2.21187427,148875,613,17.84051222,28238.1302138363,19295468.8310103
